model	dataset	method	base_lfr	tuned_lfr	delta	tuned_ned	tuned_ppl	tuned_total_cfs	eval_dir
14B	boolq	simpo	0.5509	0.625	0.0741	0.1972	7.446	1320	results/evaluation_boolq_200s_simpo_b3g05_qwen25_14b
14B	boolq	gdpo	0.5509	0.6079	0.057	0.1504	6.5266	1349	results/evaluation_boolq_200s_gdpo_v6_qwen25_14b
14B	boolq	dpo	0.5509	0.5778	0.0269	0.2038	6.9204	1523	results/evaluation_boolq_200s_dpo_2pair_lr1e5_qwen25_14b
14B	boolq	grpo_single	0.5509	0.5755	0.0246	0.2231	6.8575	1642	results/evaluation_boolq_200s_grpo_v2_g16_single_qwen25_14b
14B	boolq	grpo_multi	0.5509	0.5722	0.0213	0.2169	6.8319	1704	results/evaluation_boolq_200s_grpo_mv2_g16_qwen25_14b
14B	boolq	sft	0.5509	0.5557	0.0049	0.2497	6.9639	1785	results/evaluation_boolq_200s_sft_2pair_b4_ml2048_200step_qwen25_14b
14B	snli_hypothesis	grpo_multi	0.7621	0.9127	0.1505	0.4615	126.464	584	results/evaluation_snli_hypothesis_200s_grpo_mv2_lr2e6_qwen25_14b
14B	snli_hypothesis	simpo	0.7621	0.8991	0.1369	0.4242	95.1028	317	results/evaluation_snli_hypothesis_200s_simpo_b3g05_qwen25_14b
14B	snli_hypothesis	grpo_single	0.7621	0.8784	0.1163	0.4667	107.9756	732	results/evaluation_snli_hypothesis_200s_grpo_v2_g16_single_qwen25_14b
14B	snli_hypothesis	gdpo	0.7621	0.8493	0.0872	0.4541	93.9293	856	results/evaluation_snli_hypothesis_200s_gdpo_v6_qwen25_14b_v2fix
14B	snli_hypothesis	dpo	0.7621	0.8291	0.067	0.4706	82.0425	954	results/evaluation_snli_hypothesis_200s_dpo_2pair_lr1e5_qwen25_14b
14B	snli_hypothesis	sft	0.7621	0.8003	0.0381	0.5	83.6768	1402	results/evaluation_snli_hypothesis_200s_sft_2pair_qwen25_14b
14B	snli_premise	grpo_multi	0.6328	0.9342	0.3014	0.3859	44.0528	547	results/evaluation_snli_premise_200s_grpo_mv2g16_fair_qwen25_14b
14B	snli_premise	gdpo	0.6328	0.8978	0.265	0.3521	53.3841	587	results/evaluation_snli_premise_200s_gdpo_v6_fair_qwen25_14b
14B	snli_premise	grpo_single	0.6328	0.8566	0.2238	0.338	43.4668	1011	results/evaluation_snli_premise_200s_grpo_v2_g16_single_qwen25_14b
14B	snli_premise	simpo	0.6328	0.8561	0.2233	0.4259	50.4869	1376	results/evaluation_snli_premise_200s_simpo_b2g05_qwen25_14b
14B	snli_premise	dpo	0.6328	0.7877	0.1549	0.3617	45.6259	1168	results/evaluation_snli_premise_200s_dpo_2pair_lr1e5_qwen25_14b
14B	snli_premise	sft	0.6328	0.6325	-0.0003	0.306	50.897	1306	results/evaluation_snli_premise_200s_sft_2pair_b16_1ep_qwen25_14b
3B	boolq	grpo_single	0.304	0.4137	0.1097	0.0895	8.9882	1107	results/evaluation_boolq_200s_grpo_v2g16_lr1e5_fair2_qwen25_3b
3B	boolq	grpo_multi	0.304	0.3861	0.0821	0.0886	9.1702	1080	results/evaluation_boolq_200s_grpo_mv2g16_lr1e5_fair_qwen25_3b
3B	boolq	simpo	0.304	0.3794	0.0754	0.1492	10.946	1497	results/evaluation_boolq_200s_simpo_b2g05_qwen25_3b
3B	boolq	dpo	0.304	0.3205	0.0165	0.1506	9.7422	1747	results/evaluation_boolq_200s_dpo_1pair_2ep_qwen25_3b
3B	boolq	gdpo	0.304	0.3165	0.0125	0.2133	10.6761	1807	results/evaluation_boolq_200s_gdpo_v6_ckpt100_qwen25_3b
3B	boolq	sft	0.304	0.3159	0.0119	0.2706	10.9522	1855	results/evaluation_boolq_200s_sft_qwen25_3b
3B	snli_hypothesis	gdpo	0.4851	0.6359	0.1508	0.4963	68.319	920	results/evaluation_snli_hypothesis_200s_gdpo_v6_ckpt1500_fair_qwen25_3b
3B	snli_hypothesis	grpo_multi	0.4851	0.567	0.0819	0.3747	100.7271	649	results/evaluation_snli_hypothesis_200s_grpo_mv2g16_lr1e5_fair_qwen25_3b
3B	snli_hypothesis	dpo	0.4851	0.5584	0.0733	0.4152	65.3536	788	results/evaluation_snli_hypothesis_200s_dpo_2pair_2ep_lr1e5_fair_qwen25_3b
3B	snli_hypothesis	simpo	0.4851	0.5516	0.0665	0.3793	92.7971	736	results/evaluation_snli_hypothesis_200s_simpo_b3g05_fair2_qwen25_3b
3B	snli_hypothesis	grpo_single	0.4851	0.5363	0.0513	0.3478	80.8927	619	results/evaluation_snli_hypothesis_200s_grpo_v2g16_lr1e5_fair_qwen25_3b
3B	snli_hypothesis	sft	0.4851	0.516	0.0309	0.4586	67.9132	938	results/evaluation_snli_hypothesis_200s_sft_qwen25_3b
3B	snli_premise	grpo_single	0.34	0.6108	0.2708	0.3464	38.7668	686	results/evaluation_snli_premise_200s_grpo_v2g16_lr1e5_fair_qwen25_3b
3B	snli_premise	simpo	0.34	0.5978	0.2578	0.2927	54.7257	823	results/evaluation_snli_premise_200s_simpo_b3g05_fair2_qwen25_3b
3B	snli_premise	grpo_multi	0.34	0.5955	0.2555	0.3333	41.4258	665	results/evaluation_snli_premise_200s_grpo_mv2g16_lr1e5_fair_qwen25_3b
3B	snli_premise	gdpo	0.34	0.5167	0.1767	0.2927	42.0005	929	results/evaluation_snli_premise_200s_gdpo_v6_fair_qwen25_3b
3B	snli_premise	dpo	0.34	0.4503	0.1104	0.2375	47.1665	1017	results/evaluation_snli_premise_200s_dpo_2pair_2ep_lr1e5_qwen25_3b
3B	snli_premise	sft	0.34	0.3845	0.0445	0.2278	46.9542	939	results/evaluation_snli_premise_200s_sft_qwen25_3b
7B	boolq	simpo	0.3777	0.667	0.2893	0.1152	8.8332	1114	results/evaluation_boolq_200s_simpo_b3g05_fair
7B	boolq	dpo	0.3777	0.5988	0.2212	0.0932	8.8175	1022	results/evaluation_boolq_200s_dpo_2pair_fair
7B	boolq	grpo_single	0.3777	0.5925	0.2149	0.0861	8.324	908	results/evaluation_boolq_200s_grpo_v2g16_lr1e5_fair
7B	boolq	grpo_multi	0.3777	0.5698	0.1921	0.0901	8.1482	1046	results/evaluation_boolq_200s_grpo_mv2g16_lr1e5_fair
7B	boolq	sft	0.3777	0.4718	0.0941	0.1413	8.4259	1596	results/evaluation_boolq_200s_sft_fair
7B	boolq	gdpo	0.3777	0.3755	-0.0022	0.1058	9.5661	1646	results/evaluation_boolq_200s_gdpo_g16_ckpt200
7B	snli_hypothesis	simpo	0.4518	0.7624	0.3106	0.3704	160.136	484	results/evaluation_snli_hypothesis_200s_simpo_b3g05_v2fix
7B	snli_hypothesis	dpo	0.4518	0.6837	0.2319	0.3396	113.2301	882	results/evaluation_snli_hypothesis_200s_dpo_2pair_fair
7B	snli_hypothesis	grpo_multi	0.4518	0.6726	0.2208	0.3529	121.2825	675	results/evaluation_snli_hypothesis_200s_grpo_mv2_g16_v2fix
7B	snli_hypothesis	grpo_single	0.4518	0.6592	0.2074	0.25	137.0238	490	results/evaluation_snli_hypothesis_200s_grpo_v2_g24
7B	snli_hypothesis	gdpo	0.4518	0.6293	0.1775	0.3723	108.5285	1133	results/evaluation_snli_hypothesis_200s_gdpo_v6_g16_ckpt6000
7B	snli_hypothesis	sft	0.4518	0.47	0.0182	0.3258	97.1889	1266	results/evaluation_snli_hypothesis_200s_sft_2pair_b4_2ep
7B	snli_premise	simpo	0.535	0.8504	0.3154	0.34	59.643	1223	results/evaluation_snli_premise_200s_simpo_2pair_v2fix
7B	snli_premise	grpo_multi	0.535	0.8092	0.2742	0.3265	52.7974	891	results/evaluation_snli_premise_200s_grpo_mv2_g16_v2fix
7B	snli_premise	grpo_single	0.535	0.7952	0.2602	0.3367	62.4666	952	results/evaluation_snli_premise_200s_grpo_v2_g16
7B	snli_premise	dpo	0.535	0.7802	0.2452	0.3113	53.536	1019	results/evaluation_snli_premise_200s_dpo_2pair_fair
7B	snli_premise	gdpo	0.535	0.6999	0.1649	0.303	53.618	1423	results/evaluation_snli_premise_200s_gdpo_v6_g16_ckpt2000
7B	snli_premise	sft	0.535	0.5386	0.0036	0.25	55.1167	1489	results/evaluation_snli_premise_200s_sft_fair
Llama	boolq	gdpo	0.5444	0.7076	0.1632	0.3479	13.1199	1833	results/evaluation_boolq_200s_gdpo_v6_ckpt500_llama31_8b
Llama	boolq	grpo_multi	0.5444	0.6689	0.1245	0.326	15.4804	1785	results/evaluation_boolq_200s_grpo_mv2g16_mcl768_ckpt1600_llama31_8b
Llama	boolq	dpo	0.5444	0.6595	0.1152	0.1015	8.7469	1683	results/evaluation_boolq_200s_dpo_2pair_lr1e5_llama31_8b
Llama	boolq	simpo	0.5444	0.6347	0.0903	0.0833	8.5297	1407	results/evaluation_boolq_200s_simpo_b2_g05_lr2e6_llama31_8b
Llama	boolq	grpo_single	0.5444	0.605	0.0606	0.2206	12.2731	1729	results/evaluation_boolq_200s_grpo_v2g16_v2ckpt1800_fair_llama31_8b
Llama	boolq	sft	0.5444	0.5355	-0.0089	0.2787	12.9088	1675	results/evaluation_boolq_200s_sft_llama31_8b
